sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
TAG,10,1,1,7,8,1985,703,99,99,,,"""Merrick et al, 1987"""
ULAK/HASGOX POINT,10,1,1,7,8,1985,1236,99,99,,,"""Merrick et al, 1987"""
ATKINS,8,1,1,99,99,1986,1072,99,99,,,1046 in loughlin field book(6/29)& Merrick 1987
CHIRIKOF,7,1,1,99,99,1986,1476,99,99,,,"""Merrick et al, 1987"""
FORRESTER COMPLEX,5,1,1,99,99,1986,1954,99,99,,,"""Loughlin & Merrick, 1988"""
OUTER (PYE),7,0,1,99,99,1986,933,99,99,,,"""993 in Calkins & Goodwin, 1988"""
SUGARLOAF,7,1,1,99,99,1986,3077,99,99,,,"""3107 in Merrick et al, 1987"""
CHERNABURA,8,1,1,6,30,1986,379,99,99,,,checked in loughlin field book & Merrick et 1987
CHOWIET,7,1,1,7,1,1986,1731,99,99,,,checked in loughlin field book & Merrick et 1987
MARMOT,7,1,1,7,8,1986,4381,99,99,,,"""4286 in Merrick et al, 1987"""
MARMOT,7,1,1,7,2,1987,2910,99,99,,,checked to loughlin field book
AGATTU,11,1,1,99,99,1988,1218,99,99,,,
BULDIR,11,0,1,99,99,1988,460,99,99,,,
FORRESTER COMPLEX,5,1,1,99,99,1988,2202,99,99,,,"""Loughlin & Merrick, 1988"""
KISKA/CAPE ST STEPHEN,10,1,1,99,99,1988,300,99,99,,,
MARMOT,7,1,1,7,2,1988,3136,99,99,,,checked in loughlin field book
CHIRIKOF,7,1,1,6,28,1989,709,99,99,,,checked to loughlin field book
CHOWIET,7,1,1,6,27,1989,820,99,99,,,"""Calkins et al, 1994"""
FORRESTER COMPLEX,5,1,1,6,23,1989,2844,99,99,,,"""Loughlin et al, 1992"""
MARMOT,7,1,1,6,29,1989,2199,99,99,,,"""2119 in loughlin field book (this in Loughlin, 90)"""
SUGARLOAF,7,1,1,6,29,1989,2109,99,99,,,"""Calkins et al, 1994"""
AGATTU,11,1,1,7,5,1989,907,99,99,,,"""1153 in Loughlin et al, 1992"""
BULDIR,11,0,1,7,99,1989,494,99,99,,,"""463 in Loughlin et al, 1992"""
HAZY,5,1,1,7,99,1989,349,99,99,,,
OUTER (PYE),7,0,1,7,2,1989,557,99,99,,,"""Calkins et al, 1994"""
SEAL ROCKS,6,1,1,7,6,1989,553,99,99,,,NMFS 1992
WALRUS,12,0,1,7,12,1994,61,99,99,,,"""Strick et al, 1997"""
BOGOSLOF/FIRE ISLAND,9,1,1,6,29,1973,2328,5,99,,,"""Byrd et al, 1980"""
SEGUAM/SADDLERIDGE,10,1,1,7,12,1979,2475,5,99,,,"""Fiscus et al, 1981"""
YUNASKA,10,1,1,7,14,1979,752,5,99,,,"""Fiscus et al, 1981"""
WALRUS,12,0,1,8,4,1981,292,5,1,,,"Loughlin Memo, 8/9/1982"
WALRUS,12,0,1,7,24,1982,334,5,1,,,"Loughlin Memo, 8/9/1982"
UGAMAK COMPLEX,9,1,1,6,24,1985,1635,5,99,,,"""Merrick et al, 1987, Ugamak only """
WALRUS,12,0,1,8,19,1987,114,5,1,,,"Gearin memo, 8/19/1987"
BOGOSLOF/FIRE ISLAND,9,1,1,7,22,1989,358,5,99,,,"""Loughlin et al, 1990 but 381 Loughlin et al, 1992"""
KISKA/CAPE ST STEPHEN,10,1,1,7,16,1989,258,5,99,,,"""Merrick et al, 1990"""
KISKA/LIEF COVE,10,1,1,7,16,1989,293,5,99,,,"""Merrick et al, 1990"""
SEGUAM/SADDLERIDGE,10,1,1,7,18,1989,529,5,99,,,"""Merrick et al, 1990"""
ATKINS,8,1,1,6,28,1990,433,5,1,,,"""435 in Merrick et al, 1991"""
CHERNABURA,8,1,1,6,28,1990,197,5,1,,,"""193 in Merrick et al, 1991"""
CHIRIKOF,7,1,1,6,26,1990,607,5,1,,,"""checked to field book,Merrick et al, 1991"""
OUTER (PYE),7,0,1,6,99,1990,363,5,1,,,"""Calkins et al, 1994"""
SUGARLOAF,7,1,1,6,99,1990,1638,5,1,,,"""Calkins et al, 1994"""
UGAMAK COMPLEX,9,1,1,6,30,1990,847,5,1,,,"""851 in AKCOUNT-edited 5/1/96 as typo, Ugamak only"""
HAZY,5,1,1,6,27,1990,638,5,2,,,641 in NMFS 1992
ADUGAK,9,1,1,7,6,1990,262,5,1,,,"""Merrick et al, 1991"""
AKUN/BILLINGS HEAD,9,1,1,7,3,1990,63,5,1,,,"""Merrick et al, 1991"""
AMCHITKA/COLUMN ROCK,10,0,1,7,13,1990,148,5,1,,,"""Merrick et al, 1991"""
AMLIA/SVIECH. HARBOR,10,0,0,7,9,1990,26,5,1,,,"""Merrick et al, 1991"""
AYUGADAK,10,1,1,7,14,1990,163,5,1,,,"""Merrick et al, 1991"""
BOGOSLOF/FIRE ISLAND,9,1,1,7,5,1990,461,5,1,,,"""Merrick et al, 1991"""
FORRESTER COMPLEX,5,1,1,7,99,1990,2932,5,1,,,NMFS 1992
GRAMP ROCK,10,1,1,7,16,1990,448,5,1,,,"""Merrick et al, 1991"""
KISKA/CAPE ST STEPHEN,10,1,1,7,15,1990,212,5,1,,,"""Merrick et al, 1991"""
KISKA/LIEF COVE,10,1,1,7,15,1990,221,5,1,,,216 in field book
SEAL ROCKS,6,1,1,7,99,1990,571,5,1,,,NMFS 1992
SEGUAM/SADDLERIDGE,10,1,1,7,8,1990,684,5,1,,,"""Merrick et al, 1991"""
TAG,10,1,1,7,12,1990,357,5,1,,,"""Merrick et al, 1991"""
ULAK/HASGOX POINT,10,1,1,7,12,1990,790,5,1,,,"""Merrick et al, 1991"""
WHITE SISTERS,5,1,1,7,8,1990,30,5,1,,,"""NMFS 1992, est?"""
YUNASKA,10,1,1,7,7,1990,230,5,1,,,"""Merrick et al, 1991"""
BOGOSLOF/FIRE ISLAND,9,1,1,6,28,1991,501,5,1,,,"""Merrick et al, 1992"""
CHIRIKOF,7,1,1,6,28,1991,656,5,1,,,"""Merrick et al, 1992"""
OUTER (PYE),7,0,1,6,29,1991,180,5,2,,,"""Merrick et al, 1992"""
SEAL ROCKS,6,1,1,6,28,1991,657,5,2,,,"""Merrick et al, 1992"""
AKUN/BILLINGS HEAD,9,1,1,7,5,1991,64,5,1,,,"""63 in Merrick et al, 1992"""
ATKINS,8,1,1,7,1,1991,485,5,1,,,"""505 in Merrick et al, 1992"""
MARMOT,7,1,1,7,3,1991,1611,5,1,,,"""Merrick et al, 1992"""
PINNACLE ROCK,8,1,1,7,2,1991,794,5,1,,,"""845 in Merrick et al, 1992"""
UGAMAK COMPLEX,9,1,1,7,4,1991,813,5,1,,,"""811 in Merrick et al, 1992, Ugamak only"""
FORRESTER COMPLEX,5,1,1,7,7,1991,3261,5,2,,,"""Merrick et al, 1992"""
HAZY,5,1,1,7,6,1991,808,5,2,,,"""Merrick et al, 1992"""
WHITE SISTERS,5,1,1,7,8,1991,95,5,2,,,"""Merrick et al, 1992"""
WALRUS,12,0,1,7,16,1991,63,5,99,,,"""50 in Merrick et al, 1992"""
WHITE SISTERS,5,1,1,6,26,1992,116,5,2,,,
AKUTAN/CAPE MORGAN,9,1,1,7,7,1992,558,5,1,,,"""556 in Sease et al, 1993,field notes?"""
CHERNABURA,8,1,1,7,16,1992,211,5,1,,,"""210 in Sease et al, 1993"""
CHOWIET,7,1,1,7,4,1992,636,5,1,,,"""635 in Sease et al, 1993"""
CLUBBING ROCKS,8,1,1,7,15,1992,433,5,1,,,"""Sease et al, 1993"""
SUGARLOAF,7,1,1,7,1,1992,1000,5,1,,,"""1001 in Sease et al, 1993"""
BOGOSLOF/FIRE ISLAND,9,1,1,6,29,1993,322,5,1,,,
