sitename,regionnumb,trendsite,rookery,month,day,year,pupcount,counttype,source,replicate,counter,comments
SEGUAM/SADDLERIDGE,10,1,1,6,23,2001,468,5,1,,,"June/July 2001 data book (TRL), 14 dead"
SEGUAM/TURF POINT,10,1,0,6,24,2001,24,5,1,,,RT small data book
OGCHUL,9,1,1,6,25,2001,47,5,1,,,"part RT small book, part TRL count from Tiglax"
AKUTAN/CAPE MORGAN,9,1,1,6,26,2001,508,5,1,,,"June/July 2001 data book (TRL), 15 dead"
UGAMAK/NORTH,9,1,1,6,27,2001,298,5,1,,,"June/July 2001 data book (TRL), 7 dead"
UGAMAK/UGAMAK BAY,9,1,1,6,28,2001,256,5,1,,,"June/July 2001 data book (TRL), 11 dead"
UGAMAK/ROUND,9,1,1,6,28,2001,16,5,1,,,June/July 2001 data book (TRL)
CLUBBING ROCKS NORTH,8,1,1,6,29,2001,152,5,1,,,"June/July 2001 data book (TRL), 6 dead"
CLUBBING ROCKS SOUTH,8,1,1,6,29,2001,338,5,1,,,"June/July 2001 data book (TRL), 3 dead"
CHERNABURA,8,1,1,6,30,2001,92,5,1,,,"June/July 2001 data book (TRL), 2 dead"
CHOWIET,7,1,1,7,1,2001,278,5,1,,,"June/July 2001 data book (TRL), 7 dead"
SEA OTTER,7,0,0,7,3,2001,3,5,1,,,"no hardcopy of this count, saw pups while looking for brands"
SUGARLOAF,7,1,1,7,4,2001,490,5,1,,,"RT and TRL small data books, 9 dead"
SEAL ROCKS,6,1,1,7,6,2001,500,5,1,,,"June/July 2001 data book (TRL), 12 dead"
THE NEEDLE,6,1,0,7,8,2001,6,7,1,,,"no hardcopy, entered directly to spreadsheet"
POINT ELRINGTON,6,1,0,7,8,2001,3,7,1,,,"no hardcopy, entered directly to spreadsheet"
ADUGAK,9,1,1,6,25,2002,160,5,1,,,"Rod Towell - 157 live 4 dead, dave thompson 163 live 3 dead"
YUNASKA,10,1,1,6,25,2002,145,5,1,,,"rt 146 live 2 dead, dt 144 live 1 dead"
KASATOCHI/NORTH POINT,10,1,1,6,28,2002,302,5,1,,,"rt - 343, 331 live, trl 280 live, lander 284, 274 live"
ADAK/LAKE POINT,10,1,1,6,29,2002,363,5,1,,,"rt 387 live 5 dead, dt 339 live"
GRAMP ROCK,10,1,1,6,30,2002,444,5,1,,,"dt 418,406 ; ml 322, trl 353, 335  + single count of 77 by trl diff area"
TAG,10,1,1,6,30,2002,153,5,1,,,"rt 149, 2 dead; dt 163 6 dead; tyler hobbs 148, 1 dead"
ULAK/HASGOX POINT,10,1,1,6,30,2002,331,5,1,,,"rt 293, dt 271, 3 dead + trl 52,48,47 on offshore rock"
AYUGADAK,10,1,1,7,1,2002,90,5,1,,,"dt 88/90, th 90,  2 dead"
KISKA/LIEF COVE,10,1,1,7,2,2002,158,5,1,,,"trl 128, 122 live, 2,3 dead; + ml 32, 34 live"
KISKA/CAPE ST STEPHEN,10,1,1,7,2,2002,71,5,1,,,70 + 1 dead in rt personal log
BULDIR,11,0,1,7,3,2002,42,5,1,,,"trl 44, 41, 41"
AGATTU/CAPE SABAK,11,1,1,7,4,2002,212,5,1,,,"trl 112, 109; rt 106; ml 98,   + rt 106"
SEGUAM/TURF POINT,10,1,0,6,26,2002,23,6,1,,,count from above with bino's
ADAK/CAPE YAKAK,10,1,0,6,29,2002,0,7,1,,,"skiffed around area, juvs and males only"
AMCHITKA/EAST CAPE,10,1,0,7,1,2002,0,7,1,,,"skiffed around are, put people onshore to be certain"
AMCHITKA/COLUMN ROCK,10,0,1,7,1,2002,52,5,1,,,"Tom, Dave and Tyler did counts, trl small data book"
ATTU/CAPE WRANGELL,11,0,1,7,5,2002,75,5,1,,,trl 78; ml 71; dt 75; th 76
AGATTU/GILLON POINT,11,1,1,7,4,2002,159,5,1,,,trl 177; rt 162; dt 154; th 142
SEMISOPOCHNOI,10,0,0,7,7,2002,0,8,1,,,glassed from Pacific Star
BOGOSLOF/FIRE ISLAND,9,1,1,7,9,2002,180,5,1,,,"trl 155, 148; dt 159, 156;  + trl 25"
AKUN/BILLINGS HEAD,9,1,1,6,25,2002,55,5,1,,,fadely report + field book
AMAK+ROCKS,9,1,0,6,26,2002,3,7,1,,,fadely trip report
SEA LION ROCK (AMAK),9,1,1,6,26,2002,160,5,1,,,fadely field book
UGAMAK/ROUND,9,1,1,6,27,2002,6,7,1,,,fadely field book
AIKTAK,9,0,0,6,27,2002,10,7,1,,,"field book says 9, report says 10"
PINNACLE ROCK,8,1,1,6,28,2002,769,5,1,,,fadely field book
JUDE,8,0,1,6,29,2002,119,5,1,,,fadely field book
THE WHALEBACK,8,0,0,6,29,2002,16,5,1,,,fadely field book
ATKINS,8,1,1,6,30,2002,224,5,1,,,fadely field book
LIGHTHOUSE ROCKS,8,0,1,6,30,2002,7,7,1,,,fadely field book
CHIRIKOF,7,1,1,7,1,2002,225,5,1,,,fadely field book
THE HAYSTACKS,8,0,0,6,29,2002,0,7,1,,,fadely field book & trip report
NAGAI ROCKS,7,0,0,7,1,2002,19,7,1,,,fadely trip report
OUTER (PYE),7,0,1,7,6,2002,58,5,1,,,fadely field book
WALRUS,12,0,1,7,5,2001,39,5,1,,,Robson email dated 11/27/02
AMLIA/SVIECH. HARBOR,10,0,0,6,19,2002,22,3,1,,,"counted from oblique digital aerial photo by sease, york, thomason, call"
FORRESTER/SEA LION RK,5,1,1,7,5,2002,424,2,5,,,"Perryman et al., La Jolla"
FORRESTER/C HORN RK,5,1,1,7,5,2002,381,2,5,,,"Perryman et al., La Jolla"
FORRESTER/LOWRIE,5,1,1,7,5,2002,1086,2,5,,,"Perryman et al., La Jolla"
FORRESTER/NORTH RK,5,1,1,7,5,2002,1030,2,5,,,"Perryman et al., La Jolla"
FORRESTER/EAST RK,5,0,0,7,5,2002,136,2,5,,,"Perryman et al., La Jolla"
FORRESTER COMPLEX,5,1,1,7,5,2002,0,2,5,,,"Perryman et al., La Jolla, Count at West Rock"
CAPE ADDINGTON,5,0,0,7,5,2002,6,2,5,,,"Perryman et al., La Jolla"
HAZY,5,1,1,7,5,2002,1248,2,5,,,"Perryman et al., La Jolla"
CAPE OMMANEY,5,0,0,7,5,2002,2,2,5,,,"Perryman et al., La Jolla"
BIALI ROCK,5,1,1,7,4,2002,59,2,5,,,"Perryman et al., La Jolla"
YASHA,5,0,0,7,6,2002,1,2,5,,,"Perryman et al., La Jolla"
WHITE SISTERS,5,1,1,7,4,2002,403,2,5,,,"Perryman et al., La Jolla"
GRAVES ROCK,5,1,1,7,4,2002,99,2,5,,,"Perryman et al., La Jolla"
UNALASKA/BISHOP POINT,9,0,0,6,20,2003,2,7,1,,,Testa brand resight form
OGCHUL,9,1,1,6,21,2003,69,5,1,,,"K. Call field book, kc - 57,56  cj - 55, 55,, kc - 12,12 cj - 12, 13 (56+13), 1 dead"
UNALASKA/CAPE IZIGAN,9,0,0,6,21,2003,20,7,1,,,"loughlin trip report 2003, Testa notes 0 pups, JRT reports 20 pups during capture attempt, whole sight was NOT counted"
AKUTAN/CAPE MORGAN,9,1,1,6,22,2003,497,5,1,,,"loughlin and testa field notes, WT - 500, JS - 494, 13 dead"
UGAMAK/NORTH,9,1,1,6,25,2003,352,5,1,,,"louglin field notes, BD - 357, JS - 348 , 12 dead"
UGAMAK/UGAMAK BAY,9,1,1,6,24,2003,295,6,1,,,"loughlin field notes, count by field camper Heidi, prior to beach landing"
UGAMAK/ROUND,9,1,1,6,25,2003,39,8,1,,,"loughlin trip report, looking for verification, BD count + 1 dead"
CLUBBING ROCKS NORTH,8,1,1,6,26,2003,194,5,1,,,"loughlin field notes, kc - 194, 197, cj - 198, 187 mean 194, 4 dead"
CLUBBING ROCKS SOUTH,8,1,1,6,26,2003,372,5,1,,,"loughlin field notes, wt - 379, js - 366 mean 372, 7 dead"
JUDE,8,0,1,6,26,2003,61,7,1,,,"testa field notes, PARTIAL COUNT OF LIVE PUPS"
THE WHALEBACK,8,0,0,6,27,2003,22,7,1,,,"testa field notes, PARTIAL COUNT OF LIVE PUPS"
CHERNABURA,8,1,1,6,27,2003,82,5,1,,,"loughlin field notes, trl - 31+34, js - 29+30 = 62 + wt 20"
ATKINS,8,1,1,6,27,2003,128,8,1,,,"thomason resight from, 128, MOST LIKELY A LOW COUNT"
CHOWIET,7,1,1,6,28,2003,368,6,1,,,"field notes, jt - 237, js - 234 + kc - 75 + trl 57 = 368; 1 dead(likely low)"
TWOHEADED,7,1,0,6,29,2003,20,7,1,,,testa field notes
LATAX ROCKS,7,1,0,7,1,2003,10,7,1,,,"towell brand resight form, PARTIAL COUNT OF LIVE PUPS"
WOODED (FISH),6,1,1,7,3,2003,173,5,1,,,"loughlin field notes, c1 - 164, 155 c2 - 199, 171 mean 173, 18 dead"
SEAL ROCKS,6,1,1,7,4,2003,543,5,1,,,"loughlin field notes, rt - 548, js - 537, 116 dead"
THE NEEDLE,6,1,0,7,5,2003,7,7,1,,,b delong resight form - count 7 live pups
POINT ELRINGTON,6,1,0,7,5,2003,2,7,1,,,brand resight form - 2 live pups
KASATOCHI/NORTH POINT,10,1,1,6,20,2004,354,5,1,,,"Fadely field notes, kac 352, rt 357, jwt 353 live and 17 dead"
ADAK/CAPE YAKAK,10,1,0,6,21,2004,4,7,1,,,Fadely field notes
AMLIA/SVIECH. HARBOR,10,0,0,6,22,2004,28,6,1,,,"Fadely field notes, kac, jts and jwt count 27, 28 and 28"
AGLIGADAK,10,1,0,6,22,2004,2,7,1,,,"Fadely field notes, counters BF, TZ and DH (skiff count?)"
SEGUAM/SADDLERIDGE,10,1,1,6,22,2004,517,5,1,,,"Fadely field notes. Kac 515, tz 511, rt 525. 6 dead"
YUNASKA,10,1,1,6,23,2004,145,5,1,,,"Fadely field notes. Kac 146, dh 146, jts 142. 3 dead"
ADUGAK,9,1,1,6,24,2004,185,5,1,,,"Fadely field notes. Rt 182, tz 189, jwt 183. 7 dead"
BOGOSLOF/FIRE ISLAND,9,1,1,6,25,2004,278,5,1,,,"Fadely field notes. Kac 277, jwt 279 other counts discarded. 7 dead."
AKUN/BILLINGS HEAD,9,1,1,6,26,2004,85,5,1,,,"Fadely field notes. Kac 86, rt 84, jts 86. 1 dead."
SEA LION ROCK (AMAK),9,1,1,6,27,2004,185,5,1,,,"Fadely field notes. Jts 191&188, jwt 171&177, tz 194&189. 4 dead"
UGAMAK/ROUND,9,1,1,6,28,2004,27,6,1,,,Fadely cruise report. No individ counts. 1 dead.
AIKTAK,9,0,0,6,28,2004,7,7,1,,,Fadely cruise report. No counts in field notes.
PINNACLE ROCK,8,1,1,6,29,2004,663,5,1,,,"Fadely field notes. Rt 680, kac 634, jwt 674. min 10 dead"
JUDE,8,0,1,6,29,2004,187,6,1,,,"Fadely field notes. Rt 197, dh 182, bf 193. min 2 dead."
ATKINS,8,1,1,6,30,2004,266,5,1,,,Fadely field notes. 3 areas ground and viewpoint. Min 13 dead.
CHIRIKOF,7,1,1,7,1,2004,189,5,1,,,"Fadely field notes. Kac 187, tz 190, jwt 189. 6 dead."
NAGAI ROCKS,7,0,0,7,1,2004,22,7,1,,,JWT resight book. Min 22 pups from skiff.
OUTER (PYE),7,0,1,7,5,2004,59,7,1,,,"Fadely field notes. Bf 42, kac 42, rt 43. + 17 at other site (bf res book)"
SUGARLOAF,7,1,1,7,6,2004,488,5,1,,,"Fadely field notes. Several sites added for rt,kac,jwt plus from res. Min 10 dead."
WEST ROCK,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
POINT MARSH,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
WOLF ROCK,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE BARTOLOME,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE ADDINGTON,5,0,0,6,28,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
TIMBERED,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CORONATION,5,1,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
HAZY,5,1,1,6,28,2004,1271,2,5,,,SWFSC count from MF non-pup aerial survey photo
GRINDALL,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE OMMANEY,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA LION ROCK (PUFFIN BAY),5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
BIALI ROCK,5,1,1,6,28,2004,71,2,5,,,SWFSC count from MF non-pup aerial survey photo
JACOB ROCK,5,1,0,6,28,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
KAIUCHALI (BIORKA),5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TURNABOUT,5,1,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SUNSET,5,0,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA LION ISLANDS,5,1,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
WHITE SISTERS,5,1,1,6,28,2004,488,2,5,,,SWFSC count from MF non-pup aerial survey photo
SOUTH MARBLE,5,0,0,6,27,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
GRAN (LEDGE) POINT,5,0,0,6,27,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE FAIRWEATHER,5,1,0,6,28,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE ST. ELIAS,6,1,0,6,29,2004,7,2,5,,,SWFSC count from MF non-pup aerial survey photo
HOOK POINT,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE HINCHINBROOK,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEAL ROCKS,6,1,1,6,29,2004,573,2,5,,,SWFSC count from MF non-pup aerial survey photo
WOODED (FISH),6,1,1,6,29,2004,123,2,5,,,SWFSC count from MF non-pup aerial survey photo
MIDDLETON,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
GLACIER,6,1,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
THE NEEDLE,6,1,0,6,10,2004,7,2,5,,,SWFSC count from MF non-pup aerial survey photo
POINT LaTOUCHE,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
DANGER,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
POINT ELRINGTON,6,1,0,6,10,2004,2,2,5,,,SWFSC count from MF non-pup aerial survey photo
PROCESSION ROCKS,6,0,0,6,10,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE PUGET,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE JUNKEN,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE FAIRFIELD,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE RESURRECTION,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
RUGGED,6,1,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AIALIK CAPE,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHISWELL ISLANDS,6,1,1,6,10,2004,33,2,5,,,SWFSC count from MF non-pup aerial survey photo
GRANITE CAPE,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEAL ROCKS (KENAI),6,1,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
STEEP POINT,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
RABBIT,6,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
OUTER (PYE),7,0,1,6,10,2004,67,2,5,,,SWFSC count from MF non-pup aerial survey photo
NUKA POINT,7,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
GORE POINT,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
EAST CHUGACH,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
PERL,7,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
PERL ROCKS,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
NAGAHUT ROCKS,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ELIZABETH/CAPE ELIZABETH,7,0,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
FLAT,7,0,0,6,10,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
WEST AMATULI,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
USHAGAT,7,1,0,6,25,2004,43,2,5,,,SWFSC count from MF non-pup aerial survey photo
USHAGAT/ROCKS SOUTH,7,1,0,6,25,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SUD,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
LATAX ROCKS,7,1,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA OTTER,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
RK NEAR SEA OTTER,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AFOGNAK/TONKI CAPE,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA LION ROCKS (MARMOT),7,1,0,6,25,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
MARMOT,7,1,1,6,26,2004,494,2,5,,,SWFSC count from MF non-pup aerial survey photo
LONG ISLAND,7,1,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE CHINIAK,7,1,0,6,25,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UGAK,7,0,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/GULL POINT,7,0,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE BARNABAS,7,1,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TWOHEADED,7,1,0,6,26,2004,28,2,5,,,SWFSC count from MF non-pup aerial survey photo
SITKINAK/CAPE SITKINAK,7,1,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/SUNDSTROM,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE ALITAK,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE IKOLIK,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/TOMBSTONE ROCKS,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE KULIUK,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE UGAT,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
NOISY,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/MALINA POINT,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/STEEP CAPE,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KODIAK/CAPE PARAMANOF,7,0,0,6,24,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SHAW,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE DOUGLAS,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SHAKUN ROCKS,7,0,0,6,11,2004,3,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE NUKSHAK,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE UGYAK,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CAPE GULL,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TAKLI,7,0,0,6,11,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
PUALE BAY,7,0,0,6,11,2004,3,2,5,,,SWFSC count from MF non-pup aerial survey photo
KILOKAK ROCKS,7,0,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AIUGNAK COLUMNS,7,0,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UGAIUSHAK,7,1,0,6,26,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SUTWIK,7,1,0,6,26,2004,2,2,5,,,SWFSC count from MF non-pup aerial survey photo
AGHIYUK,7,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHOWIET,7,1,1,6,12,2004,262,2,5,,,SWFSC count from MF non-pup aerial survey photo
NAGAI ROCKS,7,0,0,6,26,2004,23,2,5,,,SWFSC count from MF non-pup aerial survey photo
LIGHTHOUSE ROCKS,8,0,1,6,12,2004,17,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATKULIK,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KAK,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHANKLIUT,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEAL CAPE,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
MITROFANIA,8,0,0,6,12,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
SPITZ,8,1,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
KUPREANOF POINT,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CASTLE ROCK,8,1,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
BIG KONIUJI,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ATKINS,8,1,1,6,12,2004,222,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHERNABURA,8,1,1,6,12,2004,153,2,5,,,SWFSC count from MF non-pup aerial survey photo
TWINS,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
THE HAYSTACKS,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
THE WHALEBACK,8,0,0,6,12,2004,27,2,5,,,SWFSC count from MF non-pup aerial survey photo
NAGAI/MOUNTAIN POINT,8,1,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
NAGAI/RK W OF CAPE WEDGE,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
EGG (SAND POINT),8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA LION ROCKS (SHUMAGINS),8,1,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNGA/CAPE UNGA,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNGA/ACHEREDIN POINT,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
JUDE,8,0,1,6,12,2004,134,2,5,,,SWFSC count from MF non-pup aerial survey photo
OMEGA,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
WOSNESENSKI,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
OLGA ROCKS,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SUSHILNOI ROCKS,8,0,0,6,12,2004,16,2,5,,,SWFSC count from MF non-pup aerial survey photo
PINNACLE ROCK,8,1,1,6,12,2004,457,2,5,,,SWFSC count from MF non-pup aerial survey photo
HUNT,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SOZAVARIKA,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UMGA,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CLUBBING ROCKS,8,1,1,6,12,2004,392,2,5,,,SWFSC count from MF non-pup aerial survey photo
CHERNI,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
HAGUE ROCK,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
CATON,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
SOUTH ROCKS,8,0,1,6,12,2004,34,2,5,,,SWFSC count from MF non-pup aerial survey photo
SANAK,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
BIRD,8,1,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ROCK,8,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNIMAK/CAPE LAZAREF,9,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNIMAK/CAPE LUTKE,9,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNIMAK/SCOTCH CAP,9,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNIMAK/SENNETT POINT,9,0,0,6,12,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
UNIMAK/CAPE SARICHEF,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AMAK+ROCKS,9,1,0,6,24,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
SEA LION ROCK (AMAK),9,1,1,6,24,2004,177,2,5,,,SWFSC count from MF non-pup aerial survey photo
UGAMAK/NORTH,9,1,1,6,14,2004,319,2,5,,,SWFSC count from MF non-pup aerial survey photo
UGAMAK/UGAMAK BAY,9,1,1,6,14,2004,235,2,5,,,SWFSC count from MF non-pup aerial survey photo
UGAMAK/ROUND,9,1,1,6,14,2004,34,2,5,,,SWFSC count from MF non-pup aerial survey photo
AIKTAK,9,0,0,6,14,2004,22,2,5,,,SWFSC count from MF non-pup aerial survey photo
KALIGAGAN,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
TIGALDA/ROCKS NE,9,0,0,6,14,2004,4,2,5,,,SWFSC count from MF non-pup aerial survey photo
TIGALDA/SOUTH SIDE,9,0,0,6,14,2004,5,2,5,,,SWFSC count from MF non-pup aerial survey photo
BASALT ROCK,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
ROOTOK,9,0,0,6,14,2004,1,2,5,,,SWFSC count from MF non-pup aerial survey photo
TANGINAK,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AKUN/JACKASS POINT,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AKUN/AKUN BAY,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AKUN/AKUN HEAD,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
AKUTAN/REEF-LAVA,9,1,0,6,14,2004,6,2,5,,,SWFSC count from MF non-pup aerial survey photo
AKUTAN/CAPE MORGAN,9,1,1,6,14,2004,480,2,5,,,SWFSC count from MF non-pup aerial survey photo
AKUTAN/BATTERY POINT,9,0,0,6,14,2004,0,2,5,,,SWFSC count from MF non-pup aerial survey photo
